Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.9099999999999999,symmetric,0.3710427719826807
75% Corpus,3,symmetric,0.01,0.38108546374093955
75% Corpus,3,symmetric,0.31,0.3713185242832031
75% Corpus,3,symmetric,0.61,0.3677412160337388
75% Corpus,3,symmetric,0.9099999999999999,0.3613214826307208
75% Corpus,3,symmetric,symmetric,0.37538205129792934
75% Corpus,3,asymmetric,0.01,0.36884491349165444
75% Corpus,3,asymmetric,0.31,0.35799687977733
75% Corpus,3,asymmetric,0.61,0.45163182173437644
75% Corpus,3,asymmetric,0.9099999999999999,0.42095364283512576
75% Corpus,3,asymmetric,symmetric,0.3945643659612603
75% Corpus,4,0.01,0.01,0.41736365983510415
75% Corpus,4,0.01,0.31,0.3700905309124426
75% Corpus,4,0.01,0.61,0.40616513741265814
75% Corpus,4,0.01,0.9099999999999999,0.3997899164897517
75% Corpus,4,0.01,symmetric,0.3660659743701681
75% Corpus,4,0.31,0.01,0.40279916229375823
75% Corpus,4,0.31,0.31,0.409130424475184
75% Corpus,4,0.31,0.61,0.39694577590703006
75% Corpus,4,0.31,0.9099999999999999,0.40275699024211675
75% Corpus,4,0.31,symmetric,0.4107596573162827
75% Corpus,4,0.61,0.01,0.41452835483494965
75% Corpus,4,0.61,0.31,0.3980674660457809
75% Corpus,4,0.61,0.61,0.4050305448908018
75% Corpus,4,0.61,0.9099999999999999,0.3953396340457195
75% Corpus,4,0.61,symmetric,0.404018836360968
75% Corpus,4,0.9099999999999999,0.01,0.41255046189315336
75% Corpus,4,0.9099999999999999,0.31,0.39963640264597705
75% Corpus,4,0.9099999999999999,0.61,0.4099334657777518
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4013794408033123
75% Corpus,4,0.9099999999999999,symmetric,0.3996364026459771
75% Corpus,4,symmetric,0.01,0.4276616121756717
75% Corpus,4,symmetric,0.31,0.3965351070988323
75% Corpus,4,symmetric,0.61,0.40682479992606535
75% Corpus,4,symmetric,0.9099999999999999,0.4129068872378507
75% Corpus,4,symmetric,symmetric,0.39862766225320967
75% Corpus,4,asymmetric,0.01,0.39374084158007894
75% Corpus,4,asymmetric,0.31,0.3565428964519539
75% Corpus,4,asymmetric,0.61,0.42575318309215116
75% Corpus,4,asymmetric,0.9099999999999999,0.471732336689643
75% Corpus,4,asymmetric,symmetric,0.3569873790916371
75% Corpus,5,0.01,0.01,0.3744298990778704
75% Corpus,5,0.01,0.31,0.3829075001386738
75% Corpus,5,0.01,0.61,0.4128926398395497
75% Corpus,5,0.01,0.9099999999999999,0.4065694580658704
75% Corpus,5,0.01,symmetric,0.36177077256251544
75% Corpus,5,0.31,0.01,0.3734239184802184
75% Corpus,5,0.31,0.31,0.38278841289705107
75% Corpus,5,0.31,0.61,0.39155727569458265
75% Corpus,5,0.31,0.9099999999999999,0.40359017783213647
75% Corpus,5,0.31,symmetric,0.3662466276597418
75% Corpus,5,0.61,0.01,0.3811036488045955
75% Corpus,5,0.61,0.31,0.3777758948480128
75% Corpus,5,0.61,0.61,0.37339601441045284
75% Corpus,5,0.61,0.9099999999999999,0.3604201492168992
75% Corpus,5,0.61,symmetric,0.37485605218133233
75% Corpus,5,0.9099999999999999,0.01,0.3797435589449031
75% Corpus,5,0.9099999999999999,0.31,0.3963528764935115
75% Corpus,5,0.9099999999999999,0.61,0.3708104776576141
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3734002822828083
75% Corpus,5,0.9099999999999999,symmetric,0.4009735615684491
75% Corpus,5,symmetric,0.01,0.3776807598675438
