Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.3422955362327523
100% Corpus,9,0.61,0.01,0.33799406816406274
100% Corpus,9,0.61,0.31,0.37205498388350355
100% Corpus,9,0.61,0.61,0.37631677511813905
100% Corpus,9,0.61,0.9099999999999999,0.40070360983052056
100% Corpus,9,0.61,symmetric,0.3434518193865196
100% Corpus,9,0.9099999999999999,0.01,0.3300946942686165
100% Corpus,9,0.9099999999999999,0.31,0.363516198181221
100% Corpus,9,0.9099999999999999,0.61,0.357527958038661
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3868271780258585
100% Corpus,9,0.9099999999999999,symmetric,0.3561425307927277
100% Corpus,9,symmetric,0.01,0.36084469215731096
100% Corpus,9,symmetric,0.31,0.371032178763252
100% Corpus,9,symmetric,0.61,0.41669786108504614
100% Corpus,9,symmetric,0.9099999999999999,0.4332569581140178
100% Corpus,9,symmetric,symmetric,0.3547262471655507
100% Corpus,9,asymmetric,0.01,0.36478275227980334
100% Corpus,9,asymmetric,0.31,0.42321592237183414
100% Corpus,9,asymmetric,0.61,0.4671171716675816
100% Corpus,9,asymmetric,0.9099999999999999,0.497942340995964
100% Corpus,9,asymmetric,symmetric,0.3675819640867322
100% Corpus,10,0.01,0.01,0.3952656057569357
100% Corpus,10,0.01,0.31,0.4396672444505804
100% Corpus,10,0.01,0.61,0.48589010133616456
100% Corpus,10,0.01,0.9099999999999999,0.47921061137447757
100% Corpus,10,0.01,symmetric,0.42524286410713313
100% Corpus,10,0.31,0.01,0.31743113965489406
100% Corpus,10,0.31,0.31,0.3772010552968639
100% Corpus,10,0.31,0.61,0.4071874753487405
100% Corpus,10,0.31,0.9099999999999999,0.432719308034306
100% Corpus,10,0.31,symmetric,0.3294459955374175
100% Corpus,10,0.61,0.01,0.32630462419276246
100% Corpus,10,0.61,0.31,0.3599921338828826
100% Corpus,10,0.61,0.61,0.4009183558064276
100% Corpus,10,0.61,0.9099999999999999,0.39716090644501334
100% Corpus,10,0.61,symmetric,0.32130586050223486
100% Corpus,10,0.9099999999999999,0.01,0.32986401446921193
100% Corpus,10,0.9099999999999999,0.31,0.3502170185122171
100% Corpus,10,0.9099999999999999,0.61,0.3739190420320925
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.41627871904490316
100% Corpus,10,0.9099999999999999,symmetric,0.3253871703796175
100% Corpus,10,symmetric,0.01,0.37851512687799993
100% Corpus,10,symmetric,0.31,0.4398313800671157
100% Corpus,10,symmetric,0.61,0.4710012140634875
100% Corpus,10,symmetric,0.9099999999999999,0.47687106003806595
100% Corpus,10,symmetric,symmetric,0.3847478641796095
100% Corpus,10,asymmetric,0.01,0.35528518103859236
100% Corpus,10,asymmetric,0.31,0.4519253472589072
100% Corpus,10,asymmetric,0.61,0.4871154993812864
100% Corpus,10,asymmetric,0.9099999999999999,0.485794823609602
100% Corpus,10,asymmetric,symmetric,0.4001059966527774
